URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.cookwithmanali.com/,0.2,286,36,0.622,0.027,2023-06-15T10:38:25,2023-06-15T10:38:25,2024-01-18T11:24:00,vegetarian - regular - meal - takeout - indian - lentils - favorite - instant - order - recipes - pot - authentic,Cook with Manali - Authentic Indian Vegetarian Recipes,"Popular Indian recipes with step-by-step cooking instructions from cookbook author Manali Singh. The Cook with Manali recipe catalogue includes 1000+ authentic, approachable Indian vegetarian dishes. "
url2,https://www.cookwithmanali.com/10-eggless-cookies-to-make-this-diwali/,1.6,346,333,7.258,7.258,2016-10-27T01:06:11,2016-10-27T01:06:11,2016-10-27T01:06:11,cookies - treats - eggless - try - favorite - wonderful - homemade - special - biscuits - diwali,10 Eggless Cookies to make this Diwali - Cook With Manali,A round-up of 10 homemade eggless cookies to make this festive season. These cookies are also great to gift to friends & family!
url3,https://www.cookwithmanali.com/10-tips-food-photography/,11.8,2516,2498,8.822,8.578,2015-04-05T14:00:33,2015-04-05T14:00:33,2015-07-03T12:29:15,tips - good - look - shutter - better - need - click - food - pictures - photography - light,10 Tips for Food Photography - Cook With Manali,10 tips and tricks for food photography!
url4,https://www.cookwithmanali.com/11-flavorful-vegan-tofu-recipes/,3.5,757,736,4.011,4.011,2020-01-25T01:52:06,2020-01-25T01:52:06,2020-01-25T01:52:06,vegan - tofu - asian - indian - tossed - instant - favorite - flavorful - thai - recipes - 11 - easy,11+ Flavorful Vegan Tofu Recipes - Cook With Manali,"Hearty and comforting Vegan Tofu Recipes for dinner, lunches and meal-prep. These recipes are not only packed with flavors but also easy to make!"
url5,https://www.cookwithmanali.com/12-fusion-desserts-holi/,1.2,275,257,6.89,4.353,2017-03-10T09:35:44,2017-03-10T09:35:44,2019-09-22T11:04:21,whipped - cook - parfait - chocolate - fusion - holi - thandai - 12 - desserts - cheesecake - twist,12+ Fusion Desserts for Holi - Cook With Manali,Wow your guests with these Indian fusion desserts this Holi! Happy Friday! Holi is on Monday and so I thought it will be a good idea to share with you
url6,https://www.cookwithmanali.com/12-holi-recipes-must-make/,2.0,450,431,8.91,8.578,2015-03-04T12:56:48,2015-03-04T12:56:48,2015-07-03T12:29:49,milk - nuts - sweet - popular - try - indian - favorite - holi - recipes - 12 - gujiya,12 Holi Recipes That You Must Make! - Cook With Manali,"12 Holi Recipes that you must make this year! From Sweets to Savory, everything is a must try!"
url7,https://www.cookwithmanali.com/14-vegetarian-appetizers-for-new-years-eve/,1.5,339,324,8.085,8.085,2015-12-30T12:43:12,2015-12-30T12:43:12,2015-12-30T12:54:09,vegetarian - sweet - stuffed - wings - 14 - party - zucchini - nutella - eve - potato - appetizers,14 Vegetarian Appetizers for New Year's Eve - Cook With Manali,"So New Year's eve is almost here and you all must be pretty excited for the party! To make any party awesome, you obviously need good food and nothing"
url8,https://www.cookwithmanali.com/15-easy-instant-pot-vegan-dinners/,3.8,821,809,5.57,5.605,2018-07-05T00:05:24,2018-07-05T00:05:24,2018-06-22T19:23:03,vegan - love - rice - dinners - instant - dinner - curry - using - recipes - pot - 15 - easy,15 Easy Instant Pot Vegan Dinners - Cook With Manali,Easy Instant Pot Vegan Dinner Recipes from curries to stews to noodles. Each of these recipes comes together quickly in the Instant Pot and make hearty and comforting meals.
url9,https://www.cookwithmanali.com/15-minute-kadai-paneer/,4.4,1488,939,1.923,1.923,2022-02-25T12:31:35,2022-02-25T12:31:35,2022-02-25T12:32:56,paneer - add - butter - minute - recipe - using - pasta - cream - 15 - teaspoon - easy - kadai - sauce,15 Minute Easy Kadai Paneer - Cook With Manali,"This 15 minute Easy Kadai Paneer Recipe uses a shortcut that makes delicious kadai paneer in no time! So creamy and pairs well with naan,"
url10,https://www.cookwithmanali.com/15-vegetarian-recipes-with-pantry-staples/,4.0,867,853,3.844,3.847,2020-03-26T00:05:02,2020-03-26T00:05:02,2020-03-25T21:43:25,vegetarian - cilantro - needs - onion - fresh - recipe - staples - rice - beans - recipes - spicesskip - 15 - tomatoes - pantry,15 Vegetarian Recipes with Pantry Staples - Cook With Manali,15 Vegetarian Recipes with Pantry Staples! These easy recipes are made with basic pantry essentials and can be made without a run to the grocery store!
